국가,대학명,지원가능 전공(SKKU),해외대학 수학 전공,최소 GPA,완료 학기 수,최소 학점,최대 학점,위치(도심 거리),수업 언어,어학 요건,특징,출처 요약,참고 링크,문의 이메일
DENMARK,Aalborg University,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,4학기 이상 (학부) / 6학기 (대학원),30 ECTS,30 ECTS,준도시 — 소도시 올보르 시내 (오르후스에서 기차 약 50분),영어,영어 CEFR B2 이상,코펜하겐 캠퍼스 기숙사 구하기 어려움 · 프로젝트 기반 학습 방식 독창적 · 북유럽 산업단지 인접 취업 기회 · 한적한 항구 도시 여유로운 분위기,GPA:이메일문의 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.en.aau.dk/education/guest-exchange,internationaloffice@aau.dk
ECUADOR,Universidad San Francisco de Quito,모든 전공,교환학생 수용하는 모든 학과,2.5/4.0 (갈라파고스 캠퍼스 3.0/4.0),2학기 이상,12 US credits,16 credits,"준도시 — 소도시·마을(쿰바야) 소재, 키토에서 버스 약 1시간","스페인어, 영어",SKKU 어학확인서 인정,갈라파고스 근접 생태 탐험 기회 · 안데스 산악 지형과 열대 우림 접한 자연 경관 · 에콰도르 전통 문화 체험 가능한 소도시 분위기,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.usfq.edu.ec/en/opi/international/international-students/academic-programs/semester,vcastelo@usfq.edu.ec
ESTONIA,Tallinn University,러시아어문학과,교환학생 수용하는 모든 학과,제한 없음/명시 없음,명시 없음,명시 없음,제한 없음,준도시 — 탈린 도심까지 버스 약 15분,영어,영어 CEFR B2 이상,기숙사 미보장·조기신청 필요 · 발트해 접한 중세풍 항구 도시 · 유럽 배낭여행 거점 접근성 우수 · 북유럽식 현대적 학습 공간,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,www.tlu.ee/exchange,exchange@tlu.ee
FINLAND,LUT University (Lappeenranta-Lahti University of Technology),모든 전공,교환학생 수용하는 모든 학과 개방,제한 없음/명시 없음,제한 없음 (권장 2학기),20 ECTS,제한 없음,준도시 — 소도시 라티 시내 (헬싱키에서 기차 약 100분),영어,IELTS 6.5점 이상 또는 TOEFL iBT 90점 이상 또는 PTE Academic 62점 이상 또는 Cambridge B2 First 180점 이상,헬싱키 근교 소도시라 유럽 여행 접근성 우수 · 숲과 호수 많은 자연 친화적 환경 · 디자인·테크 산업 중심지 도시 분위기,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.lut.fi/en/studies/exchange-studies,incoming@lut.fi
FINLAND,University of Vaasa,모든 전공,"교환학생 수용하는 모든 학과(경영, 기술, 커뮤니케이션, 행정과학 등)",담당자 이메일 문의,제한 없음,명시 없음 (통상 20~30 ECTS),제한 없음 (권장 20~30 ECTS),준도시 — 소도시 바사 시내 (헬싱키에서 기차 약 120분),영어,공인성적 불요 (영어 B2 기대),기숙사 사실 미제공 · 핀란드 서부 해안가 휴양 도시 분위기 · 소규모 캠퍼스·친근한 학풍 · 헬싱키 접근성 좋은 소도시 생활,GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.uwasa.fi/en/education/exchange,incoming.international@uwasa.fi
FINLAND,University of Lapland,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상,25 ECTS,35 ECTS,준도시 — 소도시 로바니에미 시내 (헬싱키에서 기차 및 버스 환승 약 1020분),영어,IELTS 6점 이상 또는 TOEFL iBT 87점 이상,북극권 오로라 체험 가능한 겨울 풍경 · 산타클로스 마을과 크리스마스 테마 관광지 인접 · 한적한 북유럽 자연 속 캠퍼스 분위기,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,Exchange studies - University of Lapland,incoming@ulapland.fi
FINLAND,University of Eastern Finland,모든 전공,교환학생 수용하는 모든 학과 개방,제한 없음/명시 없음,2학기 이상,20 ECTS,30 ECTS,준도시 — 소도시 요엔수 시내 (헬싱키에서 기차 약 2시간),영어,명시 없음 (영어 B2 권장),호수와 숲으로 둘러싸인 자연 친화적 환경 · 소도시라 한적하고 여유로운 생활 리듬 · 핀란드 전통 사우나 문화 체험 가능,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.uef.fi/en/exchange-studies,international@uef.fi
FINLAND,Tampere University,모든 전공,교환학생 수용하는 모든 학과,제한 없음/명시 없음,2학기 이상,20 ECTS,제한 없음,도시 — 탐페레 도심에 위치,영어,TOEFL iBT 92점 이상 또는 IELTS 6.5점 이상 또는 Duolingo 115점 이상,북유럽 디자인·테크놀로지 융합 연구 선도 · 호수와 숲으로 둘러싸인 자연 친화적 도시 · 핀란드 제2의 도시로 문화·예술 인프라 풍부,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.tuni.fi/en/study-with-us/exchange-studies,mobility.tau@tuni.fi
FINLAND,Kajaani University of Applied Sciences,모든 전공,"학부 대부분 개방(International Business, Tourism, Esports Business, Sports and Leisure Management, Business Information Technology, Game Development), Health and Social Services/Engineering은 실습 기회 문의 필요, 석사(Global Business Management)",제한 없음/명시 없음,2학기 이상,30 ECTS,제한 없음,준도시 — 소도시 카야니 시내 (오울루에서 기차 약 3시간),영어,명시 없음,북극권 근처 자연 경관 접근성 우수 · 소도시 한적한 유럽 생활 체험 · 오울루 대비 저렴한 생활비,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:웹 · 위치:AI추정,https://kamk.fi/en/study-at-kamk/apply-to-kamk/exchange-students/,international.office@kamk.fi
FINLAND,Hanken School of Economics,경영대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,2학기 이상,24~30 ECTS,30~36 ECTS,도시 — 헬싱키 도심에 위치,영어,TOEFL iBT 78점 이상 또는 IELTS 6.0점 이상,기숙사 정보 링크 제공 · 북유럽 비즈니스 명문대 명성 · 발트해 접한 항구 도시 전망 · 디자인·북유럽 라이프스타일 체험,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.hanken.fi/en/students/international-opportunities/incoming-exchange-students,incoming.mobility@hanken.fi
FINLAND,Haaga-Helia University of Applied Sciences,모든 전공,교환학생 수용하는 모든 학과,3.0/5.0,2학기 이상,홈교 기준,홈교 기준,도시 — 헬싱키 도심에 위치,영어,SKKU 어학확인서 인정,교환학생 기숙사 보장 · 북유럽 디자인·창업 생태계 체험 가능 · 발트해 접한 항구 도시 휴양지 분위기,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.haaga-helia.fi/en/exchange-studies-haaga-helia,sami.krogerus@haaga-helia.fi
FINLAND,Aalto University,모든 전공,교환학생 수용하는 모든 학과,제한 없음/명시 없음,4학기 이상,명시 없음 (통상 30 ECTS),제한 없음 (통상 30 ECTS),준도시 — 소도시 에스포 시내 (헬싱키에서 버스 및 기차 약 40분),영어,영어 CEFR B2 이상,헬싱키 근교 자연·호수 접근성 우수 · 북유럽 디자인·테크 혁신 중심지 · 유럽 배낭여행 거점 도시 연결성,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.aalto.fi/en/international-students/incoming-exchange-students,international-chem@aalto.fi
FINLAND,University of Helsinki,모든 전공,대부분 학부 개방(의·약·심리·생명과학 제한),제한 없음/명시 없음,2학기 이상,20 ECTS,제한 없음,도시 — 헬싱키 도심에 위치,영어,공인성적 불요 (홈교가 B2 확인),북유럽 최대 도시 헬싱키의 활기찬 문화생활 · 발트해 접한 해양 휴양지 분위기 · 유럽 내 배낭여행 거점 도시 접근성,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:웹 · 위치:AI추정,https://drive.google.com/open?id=1kvv1THoj9gSKqqlS6A-acglLTdlP6gXo,studentexchange@helsinki.fi
FINLAND,Turku University of Applied Sciences,모든 전공,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,2학기 이상,홈교 기준,30 ECTS,준도시 — 소도시 투르쿠 시내 (헬싱키에서 기차 약 2시간),영어,공인성적 불요 (영어 B2 수준 기대),교내 기숙사 미보장·조기신청 필요 · 북유럽 디자인·공예 체험 가능한 문화 도시 · 헬싱키 접근성 좋은 소도시 여유로움 · 발트해 접한 항구 도시의 자연 경관,GPA:이메일문의 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.turkuamk.fi/en/education/exchange-studies/practicalities-for-exchange-students/,incoming.exchange@turkuamk.fi
FRANCE,Sup Biotech,자연과학대학/생명공학대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,3학기 이상,확인필요,40 ECTS,준도시 — 파리 도심까지 지하철 약 15분,영어,IELTS 6.0점 이상,생명공학 특화 교육 인프라 집약 · 파리 접근성 좋은 교외 생활권 · 프랑스어 없이도 영어 수업 가능,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.supbiotech.fr/en/programs/exchange-programs/,incoming@supbiotech.fr
FRANCE,INSEEC Business School,모든 전공,교환학생 수용하는 모든 학과,명시 없음 (프랑스식 0~20 체계),6학기 이상,20 ECTS,35 ECTS,준도시 — 파리 도심까지 지하철 약 15분,"프랑스어, 영어",SKKU 어학확인서 인정 (B2 이상),경영 트리플크라운 인증의 글로벌 명성 · 파리 접근성 좋은 준도시 생활 편의성 · 유럽 배낭여행 거점으로 최적,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.inseec.com/incoming-students-inseec-grande-ecole/,incoming@inseec.com
FRANCE,ISC Paris Group,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,1학기 이상,15 ECTS,30 ECTS,도시 — 파리 도심에 위치,"프랑스어, 영어",TOEFL iBT 80점 이상 또는 IELTS 6.5점 이상 또는 TOEIC 785점 이상 또는 Duolingo 90점 이상,기숙사 미보장·조기신청 필요 · 유럽 한복판 주말 배낭여행 거점 · 미식·카페 문화 체험 가능한 도시 · 대도시 인턴·문화생활 기회 풍부,GPA:이메일문의 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.iscparis.com/en/incoming-students/,exchange@iscparis.com
FRANCE,ICN Business School,모든 전공,모든 학과 개방,제한 없음 (학년별 최소 이수학점/ECTS 요건만),1학기 이상,홈교 기준,30 ECTS,준도시 — 소도시 낭시 시내 (파리에서 기차 약 1시간 30분),영어,TOEFL iBT 80점 이상 또는 IELTS 6.5점 이상 또는 TOEIC 750점 이상 또는 Duolingo 110점 이상,낭시 시내 미식·카페 문화 체험 가능 · 파리 접근성 좋은 유럽 여행 거점 · 낭만적인 소도시 분위기·역사적 건축물,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://drive.google.com/drive/u/1/folders/16CUWxk2R1NtRBJqsZ6iO3zqDlAABqKwE,severine.myly@icn-artem.com
FRANCE,Jean Moulin University Lyon 3,모든 전공,"교환학생 수용하는 모든 학과(경영, 철학, 언어, 법, 정치, 문학, 정보·커뮤니케이션, 역사, 지리 등)",담당자 이메일 문의,3학기 이상,8 ECTS,제한 없음 (SELF 프로그램은 31 ECTS),도시 — 리옹 도심에 위치,"프랑스어, 영어",TOEFL iBT 80점 이상 또는 IELTS 6.5점 이상 또는 TOEIC 1020점 이상 (4기능 합산) 또는 Duolingo 125점 이상,리옹의 미식·와인 문화와 어우러진 도시 생활 · 유럽 교통 허브로 주말 여행 접근성 우수 · 역사적 건축물과 현대적 도시 풍경 공존,GPA:이메일문의 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.univ-lyon3.fr/exchange-students-1,lucien.yang@univ-lyon3.fr
FRANCE,Rennes School of Business,경영대학,교환학생 수용하는 모든 학과,3.0/4.0,2학기 이상,명시 없음 (표준 30 ECTS),30 ECTS (표준),준도시 — 소도시 렌 시내 (렌에서 기차 약 60분),영어,영어 CEFR B2 이상 (홈교 확인서 가능),유럽 배낭여행 거점으로 접근성 우수 · 프랑스 전통 미식·카페 문화 체험 가능 · 고즈넉한 유럽 소도시 낭만 분위기,GPA:웹 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://aloha.rennes-sb.com/hc/en-us/categories/360002608799--Incoming-Exchange-Students,exchange@rennes-sb.com
FRANCE,Emlyon Business School,경영대학,교환학생 수용하는 모든 학과,담당자 이메일 문의,3학기 이상,25 ECTS,35 ECTS,준도시 — 리옹 도심까지 지하철 약 15분,영어,영어 CEFR B2 이상,유럽 한복판 주말 배낭여행 거점 · 리옹 미식·와인 문화 체험 · 경영 명문 인증받은 글로벌 교육,GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://em-lyon.com/en/student/bachelor/global-bba/exchange-students,Incoming.globalbba@em-lyon.com
FRANCE,SKEMA Business School,경영대학,교환학생 수용하는 모든 학과,2.5/4,제한 없음,15 ECTS,30 ECTS (프로그램에 따라 21 ECTS),준도시 — 릴 도심까지 지하철 약 15분,영어,TOEFL iBT 80점 이상 또는 TOEIC 850점 이상 또는 IELTS 6.5점 이상 또는 Duolingo 115점 이상,유럽 북부 교통 허브로 주말 여행 편리 · 프랑스 전통 건축과 현대적 캠퍼스 조화 · 릴의 번화한 도심 문화 체험 가능,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.skema.edu/en/exchange-students,studentexchange.incoming@skema.edu
FRANCE,Grenoble Alpes University,모든 전공,교환학생 수용하는 모든 학과(의·약·법 등 일부 제한 있음),제한 없음/명시 없음,홈교 기준,홈교 기준,30 credits,준도시 — 그르노블 도심까지 트램 약 15분,"프랑스어, 영어",프랑스어 또는 영어 CEFR B1~B2,교내 기숙사 미보장·조기신청 필요 · 알프스 접근성 좋은 산악 휴양지 · 프랑스어·영어 병행 수업 가능 · 미식 도시 그르노블의 카페 문화,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:웹 · 위치:AI추정,https://international.univ-grenoble-alpes.fr/come-to-uga/exchange-programs/come-on-exchange/come-on-exchange-784754.kjsp?RH=1610017301259,incoming@univ-grenoble-alpes.fr
FRANCE,Paris Dauphine University,경영대학,교환학생 수용하는 모든 학과,3.2/4.0,4학기 이상,30 ECTS,30 ECTS,준도시 — 파리 도심까지 지하철 약 15분,"프랑스어, 영어",TOEFL iBT 92점 이상 또는 IELTS 6.5점 이상,파리 도심 접근성 좋은 교통 인프라 · 미식·예술 도시 문화 체험 가능 · 유럽 배낭여행 거점 도시 입지,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://dauphine.psl.eu/international/venir-etudier-a-luniversite-paris-dauphine-psl/etudiants-en-echange,contact.echanges@dauphine.fr
FRANCE,KEDGE Business School,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상,20 ECTS,35 ECTS,준도시 — 보르도 도심까지 트램 약 15분,"프랑스어, 영어",TOEFL iBT 79점 이상 또는 IELTS 6.0점 이상 또는 TOEIC 785점 이상,와인 산업 중심지 미식·와이너리 체험 가능 · 보르도 강변 휴양지 분위기·유럽풍 도시 경관 · 프랑스 남서부 여행 거점(기차 2시간 내 대서양·산악지대),GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://student.kedge.edu/exchange-students,incoming@kedgebs.com
FRANCE,IESEG School of Management,경영대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,4학기 이상,20 ECTS,30 ECTS,준도시 — 파리 도심까지 지하철 약 15분,영어,명시 없음,교내·외 기숙사 지원 · 파리 접근성 좋은 준도시 생활 · 프랑스어 수업 병행한 문화 체험 · 유럽 배낭여행 거점 도시,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.ieseg.fr/en/international/study-at-ieseg-in-exchange/,incomingparis@ieseg.fr
FRANCE,EPF School of Engineering,모든 전공,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,4학기 이상,20 ECTS,30 ECTS,준도시 — 파리 도심까지 지하철 약 25분,영어,TOEFL iBT 72점 이상 또는 TOEFL ITP 543점 이상 또는 TOEIC 785점 이상 또는 IELTS 5.5점 이상,유럽 한복판 주말 배낭여행 거점 · 미식·카페 문화 도시 매력,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,www.epf.fr/en,cecile.carnoy@epf.fr
FRANCE,Paris 1 Pantheon-Sorbonne University,모든 전공,교환학생 수용하는 모든 학과 개방,제한 없음/명시 없음,2학기 이상,학과별 상이,학과별 상이,도시 — 파리 도심에 위치,"프랑스어, 영어",프랑스어 CEFR B2 이상 (DELF/DALF/TCF 또는 홈교 교원 확인서),유럽 역사 중심지·예술적 분위기 체험 · 미식·카페 문화 풍부한 도시 생활 · 한국인에게 인지도 높은 명문 대학,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://international.pantheonsorbonne.fr/en/join-paris-1-pantheon-sorbonne/exchange-student,incoming-exchange@univ-paris1.fr
FRANCE,Lille Catholic University,모든 전공,교환학생 수용하는 모든 학과,2.75/4.0,2학기 이상,20 ECTS,30 ECTS,준도시 — 릴 도심까지 지하철 약 15분,"프랑스어, 영어",명시 없음,유럽 배낭여행 거점으로 접근성 우수 · 프랑스 북부 미식·카페 문화 체험 가능,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.univ-catholille.fr/en/exchange-programs-academic-calendars/,alizee.leducq@univ-catholille.fr
FRANCE,EDHEC Business School,모든 전공,교환학생 수용하는 모든 학과,명시 없음 (우수한 성적 요구),2학기 이상,30 ECTS,30 ECTS,준도시 — 니스 & 릴 도심까지 트램 약 15분,"프랑스어, 영어",명시 없음,지중해 휴양지 니스의 해변·기후 매력 · 릴의 유럽풍 구시가지·카페 문화 · 프랑스 남부·북부 두 도시 경험 가능,GPA:시트 · 어학:시트 · 수업언어:factsheet · 전공:시트 · 위치:AI추정,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://my.edhec.edu/sites/default/files/myedhec/Factsheet_EDHEC_BBA_25-26_2.pdf,hannah.sztumpf@edhec.edu
FRANCE,Toulouse Business School,경영대학,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상 (학사과정; 석사는 6학기),24 ECTS,명시 없음,준도시 — 툴루즈 도심까지 지하철 약 15분,영어,TOEFL iBT 79점 이상 또는 IELTS 6.0점 이상 또는 Duolingo 110점 이상 또는 PTE Academic 50점 이상,유럽 배낭여행 거점으로 접근성 우수 · 로즈 와인·남프랑스 미식 체험 가능 · 우주산업 중심지 첨단 기술 분위기,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.tbs-education.com/about-tbs/international/incoming-exchange-students/,tbs.incoming@tbs-education.fr
FRANCE,National Institute for Oriental Languages and Civilizations (INALCO),모든 전공,"대부분 학부 개방(언어·문명·테마·전문과정), 단 일부 학과(일본어·한국어·러시아어·아랍어·중국어) 초급 과정 제한",제한 없음/명시 없음,명시 없음,명시 없음,30 ECTS,준도시 — 파리 도심까지 지하철 약 15분,프랑스어,"DELF/DALF B1 이상 (언어·문명과정) / C1 (전문과정), JLPT N2~N3 (일본어 전공)","외부 기숙사 협력 (월 €450-700), 보장 불가 · 아시아·아프리카·중동 문화 체험 기회 풍부 · 파리 접근성 좋은 준도시 생활 · 프랑스어 집중 학습 환경",GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:웹 · 위치:AI추정,https://www.inalco.fr/en/exchange-students-inalco,mob-in@inalco.fr
FRANCE,Paris School of Urban Engineering (EIVP),공과대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,4~6학기 이상 (프로그램별),홈교 기준,30 ECTS,준도시 — 파리 도심까지 지하철 약 15분,"프랑스어, 영어",영어 CEFR B2 이상 (프랑스어 수업 수강 시 프랑스어 B1),파리 도심 접근성 좋은 교통 인프라 · 도시 공학 특화 실습 프로젝트 풍부 · 프랑스 전통 건축과 현대적 캠퍼스 조화,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.eivp-paris.fr/international/study-at-eivp,julien.leroy@eivp-paris.fr
FRANCE,NEOMA Business School,경영대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,제한 없음,20 ECTS,36 ECTS,준도시 — 소도시 랭스 시내 (파리에서 기차 약 120분),"프랑스어, 영어","IELTS 6.0점 이상, 프랑스어 CEFR B2 이상",샴페인 본고장 미식·와인 문화 체험 · 파리 접근성 좋은 유럽 여행 거점 · 역사적 건축물 가득한 고풍스러운 도시,GPA:시트 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://neoma-bs.com/welcome-to-neoma,hub.rouen@neoma-bs.fr
FRANCE,ECE Paris,모든 전공,"모든 학과 개방(Artificial Intelligence, Data Management, Cybersecurity, Embedded Systems, Energy & Environment 등)",담당자 이메일 문의,프로그램별 상이,10 ECTS,제한 없음,준도시 — 파리 도심까지 지하철 약 20분,영어,IELTS 6.0점 이상 또는 TOEFL iBT 83점 이상 또는 TOEIC 780점 이상 (영어과정); 프랑스어과정은 CEFR B2,교내 기숙사 미보장·조기신청 필요 · 미식과 카페 문화로 유명한 도시 · 유럽 한복판이라 주말 배낭여행 거점으로 최적,GPA:이메일문의 · 어학:웹 · 수업언어:웹 · 전공:웹 · 위치:AI추정,https://www.ece.fr/en/international-en/,international@ece.fr
GERMANY,University of Wuppertal,자연과학대학,교환학생 수용하는 모든 학과 개방,담당자 이메일 문의,2학기 이상,확인필요,확인필요,준도시 — 부퍼탈 도심까지 기차 약 15분,"독일어, 영어",담당자 이메일 문의,교환학생 기숙사 일부 보장·조기신청 필요 · 유럽 내 접근성 좋은 교통 허브 도시 · 자연과 도시가 조화된 산악 지형 경관 · 독일 전통 시장과 현대적 문화 공존,GPA:이메일문의 · 어학:이메일문의 · 수업언어:factsheet · 전공:시트 · 위치:AI추정,https://www.uni-wuppertal.de/fileadmin/data/bu/Internationales/IntSek/Gast-_und_Austauschstudium/Erasmus__/Fact_Sheet_for_Exchange_Students.pdf,myfey@uni-wuppertal.de
GERMANY,University of Mannheim,모든 전공,대부분 학부 개방(경영 제외),담당자 이메일 문의,2학기 이상,명시 없음,제한 없음,도시 — 만하임 도심에 위치,"독일어, 영어",영어 또는 독일어 CEFR B2 (증빙 불요),라인강변 산책로·강가 카페 문화 · 독일 남서부 교통 허브로 유럽 여행 편리 · 바덴뷔르템베르크 주 경제 중심지,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,,incomings@uni-mannheim.de
GERMANY,Ruhr University of Bochum,모든 전공,교환학생 수용하는 모든 학과 개방,제한 없음/명시 없음,명시 없음,명시 없음,제한 없음,도시 — 보훔 도심에 위치,"독일어, 영어",학과별 상이 (통상 영어 CEFR B2 — TOEFL iBT 72점·IELTS 5.5점 상당),루르 공업지대 중심 도시 산업 현장 체험 기회 · 독일 전통 맥주 문화 체험 가능한 도시,GPA:시트 · 어학:웹 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://international.ruhr-uni-bochum.de/en/international-exchange-students,rubiss@ruhr-uni-bochum.de
GERMANY,CBS International Business School,경영대학,"Business-, Management-, Information Systems-, or Engineering-related field",제한 없음/명시 없음,2학기 이상 (경영·IT·공학 관련 전공),18 ECTS,30 ECTS,준도시 — 쾰른 도심까지 지하철 약 15분,영어,TOEFL iBT 83점 이상 또는 IELTS 6.5점 이상 (CEFR B2 상당),라인 강변 산책로·강변 카페 문화 · 쾰른 대성당·역사적 명소 접근성 · 유럽 주요 도시 간 교통 허브,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.cbs.de/en/international/certificate-programmes,international.office@cbs.de
GERMANY,University of Rostock,모든 전공,"교환학생 수용하는 모든 학과 개방 (Human Medicine, Dentistry, Medical Biotechnology 제외 시 B2 요구)",담당자 이메일 문의,1학기 이상,명시 없음,제한 없음,도시 — 로스토크 도심에 위치,"독일어, 영어",독일어 CEFR B1 이상·영어 B1 이상 (의학계열은 독일어 B2),기숙사 신청 필수·조기신청 필요 · 발트해 접한 항구 도시 휴양지 분위기 · 북독일 전통 건축물과 현대적 캠퍼스 조화,GPA:이메일문의 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.uni-rostock.de/en/international-affairs/incoming/gueststudies-erasmus/,incoming.io@uni-rostock.de
GERMANY,Chemnitz University of Technology,정보통신대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,2학기 이상,15 ECTS,30 ECTS,준도시 — 소도시 켐니츠 시내 (라이프치히에서 기차 약 40분),"독일어, 영어",공인성적 불요 (영어 B2 강력 권장),라이프치히 접근성 좋은 유럽 배낭여행 거점 · 공학 특화 대학도시 고즈넉한 분위기,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.tu-chemnitz.de/international/incoming/erasmus/index.php.en,nadja.hueller@iuz.tu-chemnitz.de
GERMANY,Leuphana University Luneburg,모든 전공,교환학생 수용하는 모든 학과,담당자 이메일 문의,제한 없음,명시 없음 (통상 30 ECTS),명시 없음 (모듈당 5 ECTS),준도시 — 소도시 뤼네부르크 시내 (함부르크에서 기차 약 50분),"독일어, 영어",영어 CEFR B2 이상 (TOEFL iBT 72점·IELTS 5.0점·TOEIC L&R 785점 상당),중세 도시 풍경과 현대적 캠퍼스 조화 · 함부르크 접근성 좋은 소도시 생활 · 북독일 전통 음식과 카페 문화,GPA:이메일문의 · 어학:웹 · 수업언어:웹 · 전공:시트 · 위치:AI추정,Studying at Leuphana | Leuphana,kirja.frommeyer@leuphana.de
GERMANY,Goethe University Frankfurt,문과대학,교환학생 수용하는 모든 학과,담당자 이메일 문의,2학기 이상,명시 없음,제한 없음,준도시 — 프랑크푸르트암마인 도심까지 지하철 약 15분,"독일어, 영어",독일어 CEFR B1 이상,유럽 금융 중심지 인턴십 기회 풍부 · 프랑크푸르트 학파 사회과학 명성 · 마인 강변 산책로·근교 자연경관,GPA:이메일문의 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://www.uni-frankfurt.de/122909823/Incoming_Guest_students_and_Internships_at_Goethe_University?locale=en,incoming@uni-frankfurt.de
GERMANY,University of Cologne,경영대학,교환학생 수용하는 모든 학과,제한 없음/명시 없음,3학기 이상,명시 없음,명시 없음 (통상 30 ECTS/5과목),도시 — 쾰른 도심에 위치,"독일어, 영어",영어 CEFR B2 이상,라인 강변 낭만적인 도시 풍경 · 쾰른 대성당 등 역사적 명소 접근성 · 유럽 내 교통 허브로 주말 여행 편리,GPA:시트 · 어학:시트 · 수업언어:웹 · 전공:시트 · 위치:AI추정,https://wiso.uni-koeln.de/de/studium/international/incoming-exchange-at-wiso/semester-exchange,incomings@wiso.uni-koeln.de
GERMANY,Kiel University,모든 전공,교환학생 수용하는 모든 학과 개방,제한 없음/명시 없음,4학기 이상,명시 없음,약 25~30 ECTS,준도시 — 킬 도심까지 버스 약 15분,"독일어, 영어",독일어·영어 CEFR B1 이상 (일부 학과 B2~C1),유럽 한복판이라 주말 배낭여행 거점으로 최적 · 바다와 가까운 휴양 도시 분위기,GPA:시트 · 어학:시트 · 수업언어:시트 · 전공:시트 · 위치:AI추정,https://www.studium.uni-kiel.de/en/examinations/examination-procedure/general-information/the-grading-system,cau-exchange@uv.uni-kiel.de
